urls,caption,event_id
http://www.mufoncms.com/files_jeud8334j/81117_submitter_file1__IMG0657.JPG,a person holding a pair of scissors in their hands .,81117
http://www.mufoncms.com/files_jeud8334j/81121_submitter_file1__strangelight.jpg,a red fire hydrant sitting in the middle of a forest .,81121
http://www.mufoncms.com/files_jeud8334j/81138_submitter_file1__untitled.png,a car driving down a road with a stop sign .,81138
http://www.mufoncms.com/files_jeud8334j/81139_submitter_file1__UFO2.jpg,a red stop sign sitting on the side of a road .,81139
http://www.mufoncms.com/files_jeud8334j/81140_submitter_file1__20161213183520Copie.jpg,a large jetliner flying through a cloudy sky .,81140
http://www.mufoncms.com/files_jeud8334j/81143_submitter_file1__Screenshot20161225201010.jpg,a group of people standing on top of a tennis court .,81143
http://www.mufoncms.com/files_jeud8334j/81148_submitter_file1__IMG20161226191432.jpg,a black and white photo of a person holding a kite,81148
http://www.mufoncms.com/files_jeud8334j/81150_submitter_file2__20161011184957.jpg,a stop sign on the side of the road .,81150
http://www.mufoncms.com/files_jeud8334j/81155_submitter_file1__image.jpeg,a man flying a kite in a cloudy sky .,81155
http://www.mufoncms.com/files_jeud8334j/81164_submitter_file2__20161226205913.jpg,a view of a city street at sunset .,81164
http://www.mufoncms.com/files_jeud8334j/81181_submitter_file1__IMG20161227184805.jpg,a view of a city street with a clock tower .,81181
http://www.mufoncms.com/files_jeud8334j/81212_submitter_file4__PC291631.JPG,a red and white bird flying over a forest .,81212
http://www.mufoncms.com/files_jeud8334j/81216_submitter_file1__Screenshot20161229215432.png,a black and white photo of a clock tower .,81216
http://www.mufoncms.com/files_jeud8334j/81227_submitter_file1__IMG0031.jpeg,a group of people flying kites in a field .,81227
http://www.mufoncms.com/files_jeud8334j/81228_submitter_file1__MyUFO.png,a person is holding a kite in the air .,81228
http://www.mufoncms.com/files_jeud8334j/81233_submitter_file1__IMG0142.PNG,a kite flying in the sky over a city .,81233
http://www.mufoncms.com/files_jeud8334j/81248_submitter_file1__IMG1907.jpg,a person flying a kite in a cloudy sky .,81248
http://www.mufoncms.com/files_jeud8334j/81259_submitter_file1__IMG20160729171322236.jpg,a wooden bench sitting in the middle of a forest .,81259
http://www.mufoncms.com/files_jeud8334j/81271_submitter_file1__IMG20170101212536.jpg,a black and white photo of a clock tower .,81271
http://www.mufoncms.com/files_jeud8334j/81272_submitter_file1__IMG20170101212536.jpg,a black and white photo of a clock tower .,81272
http://www.mufoncms.com/files_jeud8334j/81273_submitter_file2__20170101164745.jpg,a black and white photo of a cat in a window .,81273
http://www.mufoncms.com/files_jeud8334j/81289_submitter_file1__IMG20170102094331.jpg,a large building with a clock on it .,81289
http://www.mufoncms.com/files_jeud8334j/81293_submitter_file2__15844789101547949286780804206351108663664127o.jpg,a traffic light suspended over a city street .,81293
http://www.mufoncms.com/files_jeud8334j/81304_submitter_file1__IMGP1233.JPG,a traffic light with a red light on it,81304
http://www.mufoncms.com/files_jeud8334j/81309_submitter_file1__IMG1455.JPG,a close up of a blue and white kite .,81309
http://www.mufoncms.com/files_jeud8334j/81312_submitter_file1__IMG0023.JPG,an airplane flying over a forest with trees in the background .,81312
http://www.mufoncms.com/files_jeud8334j/81316_submitter_file1__IMG20170101182117.jpg,a kite flying in the sky with a sky background,81316
http://www.mufoncms.com/files_jeud8334j/81322_submitter_file1__AUFOlightstandinfstill.jpg,a close up of a large bird flying in the air,81322
http://www.mufoncms.com/files_jeud8334j/81330_submitter_file1__WIN20170104223134.JPG,a man is holding a black and white dog,81330
http://www.mufoncms.com/files_jeud8334j/81331_submitter_file2__IMG8414.JPG,a person is flying a kite in the dark .,81331
http://www.mufoncms.com/files_jeud8334j/81332_submitter_file1__IMG4497.JPG,a view of a city street at night .,81332
http://www.mufoncms.com/files_jeud8334j/81334_submitter_file2__IMG0051.JPG,a close up of a person holding a kite,81334
http://www.mufoncms.com/files_jeud8334j/81336_submitter_file1__IMG00100201012252132.jpg,a person holding an open umbrella in a dark room .,81336
http://www.mufoncms.com/files_jeud8334j/81337_submitter_file1__WP20170105111515Pro.jpg,a flock of birds sitting on top of a roof .,81337
http://www.mufoncms.com/files_jeud8334j/81338_submitter_file1__SL272456.JPG,a snow covered mountain with a snow covered mountain .,81338
http://www.mufoncms.com/files_jeud8334j/81346_submitter_file1__20150120161812.jpg,a truck is parked on the side of the road .,81346
http://www.mufoncms.com/files_jeud8334j/81348_submitter_file1__DSCN0016.jpg,a black and white photo of a street light .,81348
http://www.mufoncms.com/files_jeud8334j/81353_submitter_file1__IMG0678.JPG,a street scene with cars and a bus .,81353
http://www.mufoncms.com/files_jeud8334j/81354_submitter_file1__IMG0832.JPG,a traffic light suspended over a city street .,81354
http://www.mufoncms.com/files_jeud8334j/81357_submitter_file1__UfoUap.jpeg,a black and white photo of a boat in the water .,81357
http://www.mufoncms.com/files_jeud8334j/81358_submitter_file1__IMG6660.jpgcontrastandbrightnessadjusted.jpg,a close up of a person holding a tennis racket,81358
http://www.mufoncms.com/files_jeud8334j/81361_submitter_file2__20160912211453Burst01.jpg,a close up of a street light with a sky background,81361
http://www.mufoncms.com/files_jeud8334j/81370_submitter_file1__IMG0874.JPG,a man flying a kite in a cloudy sky .,81370
http://www.mufoncms.com/files_jeud8334j/81375_submitter_file1__1UFO1.jpg,a television on a stand in a room,81375
http://www.mufoncms.com/files_jeud8334j/81377_submitter_file2__SingleLightPulseStarMap010717.png,a picture of a traffic light and a street sign .,81377
http://www.mufoncms.com/files_jeud8334j/81381_submitter_file1__20140901140656.jpg,a herd of cattle grazing on a lush green hillside .,81381
http://www.mufoncms.com/files_jeud8334j/81389_submitter_file1__IMG0556.JPG,a snow covered mountain with a mountain range .,81389
http://www.mufoncms.com/files_jeud8334j/81393_submitter_file1__7JAN17Sighting.png,a bunch of kites that are in the air .,81393
http://www.mufoncms.com/files_jeud8334j/81395_submitter_file1__Obj20170108BigDippercenter.jpg,a black and white photo of a clock tower .,81395
http://www.mufoncms.com/files_jeud8334j/81399_submitter_file1__20170106102143.jpg,a view of a plane flying through the sky .,81399
http://www.mufoncms.com/files_jeud8334j/81408_submitter_file1__IMG7903.JPG,a night view of a lit up clock tower .,81408
http://www.mufoncms.com/files_jeud8334j/81411_submitter_file1__image.png,a black and white photo of a clock tower .,81411
http://www.mufoncms.com/files_jeud8334j/81412_submitter_file1__DSCN1519.jpg,a bunch of birds that are flying in the sky .,81412
http://www.mufoncms.com/files_jeud8334j/81418_submitter_file1__P1000657.JPG,a traffic light sitting on the side of a road .,81418
http://www.mufoncms.com/files_jeud8334j/81421_submitter_file1__20170108212213ufofrontyard.jpg,a black and white photo of a pair of scissors .,81421
http://www.mufoncms.com/files_jeud8334j/81422_submitter_file1__20170108212213ufofrontyard.jpg,a black and white photo of a pair of scissors .,81422
http://www.mufoncms.com/files_jeud8334j/81423_submitter_file1__20160620130950.jpg,a clock tower in the middle of a city .,81423
http://www.mufoncms.com/files_jeud8334j/81426_submitter_file1__Livenoobject.jpg,a view of a city street from a window .,81426
http://www.mufoncms.com/files_jeud8334j/81433_submitter_file1__IMG3464.PNG,a street sign on a pole with a sky background,81433
http://www.mufoncms.com/files_jeud8334j/81434_submitter_file1__IMG3464.PNG,a street sign on a pole with a sky background,81434
http://www.mufoncms.com/files_jeud8334j/81435_submitter_file3__IMG7866.JPG,a view of a city street at night .,81435
http://www.mufoncms.com/files_jeud8334j/81438_submitter_file1__redandBlue.jpg,a black and white photo of a <UNK>,81438
http://www.mufoncms.com/files_jeud8334j/81455_submitter_file1__2013090414.44.05.jpg,a train on a track near a body of water,81455
http://www.mufoncms.com/files_jeud8334j/81458_submitter_file1__IMG0781.JPG,a view of a bunch of trees and a building .,81458
http://www.mufoncms.com/files_jeud8334j/81459_submitter_file1__what4.jpg,a large jetliner flying through a cloudy sky .,81459
http://www.mufoncms.com/files_jeud8334j/81461_submitter_file1__received10205826028284268.jpeg,a blue and white bird flying in the sky .,81461
http://www.mufoncms.com/files_jeud8334j/81474_submitter_file1__IMG3546.PNG,a boat floating on top of a body of water .,81474
http://www.mufoncms.com/files_jeud8334j/81478_submitter_file1__20161218225755.jpg,a television that is on a wall in a room .,81478
http://www.mufoncms.com/files_jeud8334j/81488_submitter_file1__IMG5367.JPG,a man is skiing down a snowy hill .,81488
http://www.mufoncms.com/files_jeud8334j/81490_submitter_file1__received646816645500663.jpeg,a giraffe standing in the middle of a field .,81490
http://www.mufoncms.com/files_jeud8334j/81497_submitter_file3__CloseUp1.JPG,a black and white photo of a person holding a pair of scissors,81497
http://www.mufoncms.com/files_jeud8334j/81499_submitter_file1__20170111211310.jpg,a view of a city street at night .,81499
http://www.mufoncms.com/files_jeud8334j/81501_submitter_file1__IMG1887.JPG,a pair of scissors sitting on top of a wooden table .,81501
http://www.mufoncms.com/files_jeud8334j/81502_submitter_file1__fullsupermoon033.jpg,a view of a city street at night .,81502
http://www.mufoncms.com/files_jeud8334j/81519_submitter_file1__20170113190316.jpg,a black and white photo of a person holding a kite,81519
http://www.mufoncms.com/files_jeud8334j/81523_submitter_file1__IMG201701031514121484354895285.jpg,a plane flying in the sky with a sky background,81523
http://www.mufoncms.com/files_jeud8334j/81525_submitter_file1__mmexport1484384795927.jpg,a person on a snowboard in the air .,81525
http://www.mufoncms.com/files_jeud8334j/81527_submitter_file1__image125.JPG,a black and white photo of a clock,81527
http://www.mufoncms.com/files_jeud8334j/81528_submitter_file1__DSC0077.JPG,a close up of a person wearing a tie,81528
http://www.mufoncms.com/files_jeud8334j/81529_submitter_file1__IMG3399.JPG,an airplane is flying in the sky over a mountain .,81529
http://www.mufoncms.com/files_jeud8334j/81538_submitter_file1__IMG7965.JPG,a dog is standing in the grass near a tree .,81538
http://www.mufoncms.com/files_jeud8334j/81543_submitter_file1__IMG20170109225928.jpg,a close up of a person holding a pair of scissors,81543
http://www.mufoncms.com/files_jeud8334j/81551_submitter_file1__IMG201701151325411.jpg,a red fire hydrant sitting in the middle of a forest .,81551
http://www.mufoncms.com/files_jeud8334j/81564_submitter_file2__IMG20170117021829.jpg,a blue and white plane flying in the sky,81564
http://www.mufoncms.com/files_jeud8334j/81569_submitter_file1__image.png,a view of an airplane in the sky .,81569
http://www.mufoncms.com/files_jeud8334j/81572_submitter_file1__26746976Unknown.JPG,a view of a city street at night .,81572
http://www.mufoncms.com/files_jeud8334j/81578_submitter_file1__MincoOKMay2013.jpg,a car driving down a road next to a traffic light .,81578
http://www.mufoncms.com/files_jeud8334j/81580_submitter_file1__image.png,a view of an airplane in the sky .,81580
http://www.mufoncms.com/files_jeud8334j/81581_submitter_file1__image.png,a view of an airplane in the sky .,81581
http://www.mufoncms.com/files_jeud8334j/81582_submitter_file1__image.png,a view of an airplane in the sky .,81582
http://www.mufoncms.com/files_jeud8334j/81583_submitter_file1__image.png,a view of an airplane in the sky .,81583
http://www.mufoncms.com/files_jeud8334j/81584_submitter_file1__image.png,a view of an airplane in the sky .,81584
http://www.mufoncms.com/files_jeud8334j/81585_submitter_file1__image.png,a view of an airplane in the sky .,81585
http://www.mufoncms.com/files_jeud8334j/81602_submitter_file1__DSC00329.JPG,a bird flying over a body of water .,81602
http://www.mufoncms.com/files_jeud8334j/81603_submitter_file1__20160903185257.jpg,a person is flying a kite on the beach .,81603
http://www.mufoncms.com/files_jeud8334j/81604_submitter_file1__IMG20170117210325997.jpg,a group of birds sitting on top of a window sill .,81604
http://www.mufoncms.com/files_jeud8334j/81626_submitter_file2__IMG7177.JPG,a man and a woman feeding a giraffe .,81626
http://www.mufoncms.com/files_jeud8334j/81628_submitter_file1__Triangle.jpg,a black and white photo of a skier,81628
http://www.mufoncms.com/files_jeud8334j/81631_submitter_file1__UFO.jpg,a close up of a person holding a pair of scissors,81631
http://www.mufoncms.com/files_jeud8334j/81655_submitter_file1__DSCF7702.JPG,a large jetliner flying through a cloudy blue sky .,81655
http://www.mufoncms.com/files_jeud8334j/81664_submitter_file1__IMG3150.JPG,a view of a window from the inside of a building .,81664
http://www.mufoncms.com/files_jeud8334j/81669_submitter_file1__IMG2600.JPG,a kite flying in the sky over a field .,81669
http://www.mufoncms.com/files_jeud8334j/81675_submitter_file1__20170121155220.jpg,a large building with a clock tower on top of it .,81675
http://www.mufoncms.com/files_jeud8334j/81677_submitter_file1__UFO20170120sketch.png,a close up of a person holding a cell phone,81677
http://www.mufoncms.com/files_jeud8334j/81684_submitter_file1__20170122201306.jpg,a person is holding an umbrella in the rain .,81684
http://www.mufoncms.com/files_jeud8334j/81687_submitter_file1__20170123202348.jpg,a train traveling down tracks next to a forest .,81687
http://www.mufoncms.com/files_jeud8334j/81728_submitter_file1__IMAG0104.jpg,a couple of animals that are standing in the grass .,81728
http://www.mufoncms.com/files_jeud8334j/81729_submitter_file1__041.JPG,a truck parked on the side of a road .,81729
http://www.mufoncms.com/files_jeud8334j/81731_submitter_file1__20170126160728.JPG,a close up of a person holding a nintendo wii remote,81731
http://www.mufoncms.com/files_jeud8334j/81736_submitter_file1__IMG0388.JPG,a close up of a person holding a pair of scissors,81736
http://www.mufoncms.com/files_jeud8334j/81738_submitter_file1__image.jpeg,a black and white photo of a man holding a wii controller .,81738
http://www.mufoncms.com/files_jeud8334j/81741_submitter_file1__IMG20170114160649942.jpg,a kite flying in the sky over a field .,81741
http://www.mufoncms.com/files_jeud8334j/81748_submitter_file1__201701251835121.jpg,a black and white photo of a river and a bridge,81748
http://www.mufoncms.com/files_jeud8334j/81766_submitter_file2__20170127201645.jpg,a person holding an umbrella in the rain .,81766
http://www.mufoncms.com/files_jeud8334j/81778_submitter_file1__IMG2598.JPG,a black and white photo of a clock tower .,81778
http://www.mufoncms.com/files_jeud8334j/81779_submitter_file1__IMG3447.JPG,a black and white photo of a clock tower .,81779
http://www.mufoncms.com/files_jeud8334j/81788_submitter_file1__IMG0145.JPG,a close up of a person holding a pair of scissors,81788
http://www.mufoncms.com/files_jeud8334j/81791_submitter_file1__marsanom.jpg,a close up of a pair of scissors,81791
http://www.mufoncms.com/files_jeud8334j/81793_submitter_file1__UFO1.jpg,a person flying a kite in the sky .,81793
http://www.mufoncms.com/files_jeud8334j/81795_submitter_file1__20170129071951.jpg,a couple of people standing on top of a sandy beach .,81795
http://www.mufoncms.com/files_jeud8334j/81797_submitter_file1__IMAG0803.jpg,a group of people standing in front of a clock tower .,81797
http://www.mufoncms.com/files_jeud8334j/81806_submitter_file1__IMG0274.JPG,a close up of a giraffe with a blurry background,81806
http://www.mufoncms.com/files_jeud8334j/81809_submitter_file1__DSCF98811.jpg,a blue and white bird flying in the sky .,81809
http://www.mufoncms.com/files_jeud8334j/81813_submitter_file1__UFO.jpg,a plane flying over a body of water .,81813
http://www.mufoncms.com/files_jeud8334j/81814_submitter_file1__IMG8316.JPG,a view of a city street with a traffic light .,81814
http://www.mufoncms.com/files_jeud8334j/81817_submitter_file1__IMG1001.JPG,a city street filled with lots of traffic .,81817
http://www.mufoncms.com/files_jeud8334j/81827_submitter_file1__IMG4444.JPG,a black and white photo of a red and white clock,81827
http://www.mufoncms.com/files_jeud8334j/81830_submitter_file5__DSCN0283.JPG,a close up of a person holding an open umbrella,81830
http://www.mufoncms.com/files_jeud8334j/81836_submitter_file5__IMG0317.PNG,a close up of an illuminated clock on a building,81836
http://www.mufoncms.com/files_jeud8334j/81837_submitter_file5__IMG0317.PNG,a close up of an illuminated clock on a building,81837
http://www.mufoncms.com/files_jeud8334j/81843_submitter_file1__DSC06538.JPG,a group of people standing on top of a snow covered slope .,81843
http://www.mufoncms.com/files_jeud8334j/81846_submitter_file1__FBIMG1485903177867.jpg,a close up of a person using a laptop,81846
http://www.mufoncms.com/files_jeud8334j/81853_submitter_file1__Screenshot20170131142651.png,a black and white photo of a black and white clock,81853
http://www.mufoncms.com/files_jeud8334j/81855_submitter_file1__2017020112.19.36.jpg,a person standing on a beach flying a kite .,81855
http://www.mufoncms.com/files_jeud8334j/81859_submitter_file1__20170126064554resized.jpg,a person flying a kite in a park .,81859
http://www.mufoncms.com/files_jeud8334j/81862_submitter_file1__IMG1198.JPG,an airplane flying in the sky over a city .,81862
http://www.mufoncms.com/files_jeud8334j/81864_submitter_file1__IMG20170202065228347.jpg,a black and white photo of a clock on a wall .,81864
http://www.mufoncms.com/files_jeud8334j/81873_submitter_file1__IMG3204copy.jpg,a plane flying in the air with a sky background,81873
http://www.mufoncms.com/files_jeud8334j/81876_submitter_file1__IMG3204copy.jpg,a plane flying in the air with a sky background,81876
http://www.mufoncms.com/files_jeud8334j/81878_submitter_file1__UFOsighting.jpg,a black and white photo of a clock on a pole .,81878
http://www.mufoncms.com/u2/files_jeud8334j/45000_submitter_file1__IMG0070.JPG,a view of a city street at sunset .,files
http://www.mufoncms.com/files_jeud8334j/91198_submitter_file1__314635789105413BA0068CB3E6EC4D64.jpeg,a train traveling down train tracks next to a forest .,91198
http://www.mufoncms.com/files_jeud8334j/72002_submitter_file2__DSCN0670.JPG,a man is holding an object in his hand .,72002
http://www.mufoncms.com/files_jeud8334j/72003_submitter_file1__image.jpeg,a view of a mountain range from below .,72003
http://www.mufoncms.com/files_jeud8334j/72010_submitter_file1__DSC06334.JPG,a kite flying in the sky over a city .,72010
http://www.mufoncms.com/files_jeud8334j/72012_submitter_file1__IMG0639.JPG,a person holding a skateboard in front of a window .,72012
http://www.mufoncms.com/files_jeud8334j/72016_submitter_file1__NibiruUFOSmall.jpg,a traffic light suspended over a street next to a forest .,72016
http://www.mufoncms.com/files_jeud8334j/72019_submitter_file2__picofliteball.jpg,a person is flying a kite in the sky .,72019
http://www.mufoncms.com/files_jeud8334j/72026_submitter_file1__image.jpg,a plane flying in the sky with a sky background,72026
http://www.mufoncms.com/files_jeud8334j/72027_submitter_file1__DSC0042.JPG,a large clock tower towering over a city .,72027
http://www.mufoncms.com/files_jeud8334j/72035_submitter_file1__image.jpeg,a boat floating on top of a body of water .,72035
http://www.mufoncms.com/files_jeud8334j/72045_submitter_file1__IMG20151031WA0009.jpg,a person flying a kite in the sky .,72045
http://www.mufoncms.com/files_jeud8334j/72054_submitter_file1__DSC00839.JPG,a traffic light on a road near a road,72054
http://www.mufoncms.com/files_jeud8334j/72060_submitter_file1__caerwentmap.jpg,a car driving down a road next to a traffic light .,72060
http://www.mufoncms.com/files_jeud8334j/72061_submitter_file1__UFO.png,a bunch of kites that are in the air .,72061
http://www.mufoncms.com/files_jeud8334j/72080_submitter_file1__objectaround4am.jpg,a black and white photo of a clock tower .,72080
http://www.mufoncms.com/files_jeud8334j/72081_submitter_file1__image.jpg,a traffic light suspended over a city street .,72081
http://www.mufoncms.com/files_jeud8334j/72084_submitter_file1__image.jpg,a group of people sitting on a bench .,72084
http://www.mufoncms.com/files_jeud8334j/72090_submitter_file1__twoobject.jpg,a black and white photo of a stop sign .,72090
http://www.mufoncms.com/files_jeud8334j/72113_submitter_file1__image.jpg,a black and white photo of a street light,72113
http://www.mufoncms.com/files_jeud8334j/72124_submitter_file1__20151026183.jpg,a group of people flying kites in the sky .,72124
http://www.mufoncms.com/files_jeud8334j/72125_submitter_file1__2015102714.35.57.jpg,a black and white photo of a train station .,72125
http://www.mufoncms.com/files_jeud8334j/72143_submitter_file1__IMGP45962.jpg,a person holding a kite in the air,72143
http://www.mufoncms.com/files_jeud8334j/72147_submitter_file1__IMG2183.PNG,a close up of a person holding a pair of scissors,72147
http://www.mufoncms.com/files_jeud8334j/72149_submitter_file1__pic1.jpg,a train station with a train passing by,72149
http://www.mufoncms.com/files_jeud8334j/72150_submitter_file1__IMG20150806185929.jpg,a woman sitting on a bench in a park .,72150
http://www.mufoncms.com/files_jeud8334j/72151_submitter_file1__P1040210.JPG,an airplane flying over a body of water .,72151
http://www.mufoncms.com/files_jeud8334j/72154_submitter_file1__BroadatSnyder.jpg,a street sign on the side of a road .,72154
http://www.mufoncms.com/files_jeud8334j/72160_submitter_file1__11061327102077033104033623954185395500812113n.jpg,a person is riding a motorcycle down a street .,72160
http://www.mufoncms.com/files_jeud8334j/72164_submitter_file1__032.JPG,a man standing next to a woman on a skateboard .,72164
http://www.mufoncms.com/files_jeud8334j/72167_submitter_file1__0113090711.jpg,a person holding a kite in the air .,72167
http://www.mufoncms.com/files_jeud8334j/72168_submitter_file1__IMG20151027161751.jpg,a traffic light suspended over a street next to a forest .,72168
http://www.mufoncms.com/files_jeud8334j/72174_submitter_file2__20151001044024.png,a black and white photo of a man holding a kite .,72174
http://www.mufoncms.com/files_jeud8334j/72179_submitter_file1__001.JPG,a kite flying in the sky with a sky background,72179
http://www.mufoncms.com/files_jeud8334j/72181_submitter_file3__image.jpg,a black and white photo of a man in a dark room .,72181
http://www.mufoncms.com/files_jeud8334j/72246_submitter_file1__tmp12764201511071726161878907558.jpg,a street sign with a building in the background,72246
http://www.mufoncms.com/files_jeud8334j/72285_submitter_file1__ufo5of26.jpg,a view of a tree in the snow .,72285
http://www.mufoncms.com/files_jeud8334j/72289_submitter_file1__374.jpg,a black and white photo of a street light .,72289
http://www.mufoncms.com/files_jeud8334j/72296_submitter_file1__20151013052308.jpg,a black and white photo of a city street .,72296
http://www.mufoncms.com/files_jeud8334j/72299_submitter_file1__image.jpg,a group of people flying kites in the sky .,72299
http://www.mufoncms.com/files_jeud8334j/72313_submitter_file1__ScreenShot20151027at3.04.38PM.png,a plane flying in the sky with a sky background,72313
http://www.mufoncms.com/files_jeud8334j/72316_submitter_file1__image.jpeg,a black and white photo of a city skyline .,72316
http://www.mufoncms.com/files_jeud8334j/72320_submitter_file1__image.jpeg,a close up of a person holding a cell phone,72320
http://www.mufoncms.com/files_jeud8334j/72328_submitter_file1__20151108183935.jpg,a view of a street with a clock on it .,72328
http://www.mufoncms.com/files_jeud8334j/72330_submitter_file1__F25DEE47612742DFBB4F8DA1A19DBC77.JPG,a traffic light sitting on the side of a road .,72330
http://www.mufoncms.com/files_jeud8334j/72334_submitter_file1__Snapchat6775808045624361722.jpg,a colorful kite is flying in the sky .,72334
http://www.mufoncms.com/files_jeud8334j/72336_submitter_file1__Screenshot20151108222052.png,a close up of a street light with a sky background,72336
http://www.mufoncms.com/files_jeud8334j/72338_submitter_file1__20151016152934.jpg,a large rock with a mountain in the background .,72338
http://www.mufoncms.com/files_jeud8334j/72339_submitter_file1__20151105171812.jpg,a view of a mountain range with a sky background .,72339
http://www.mufoncms.com/files_jeud8334j/72353_submitter_file1__FullSizeRender.jpg,a close up of a person holding a pair of scissors,72353
http://www.mufoncms.com/files_jeud8334j/72360_submitter_file1__20150823181112.jpg,a plane flying in the sky over a mountain .,72360
http://www.mufoncms.com/files_jeud8334j/72364_submitter_file2__20151109150211.jpg,a tall clock tower with a sky background,72364
http://www.mufoncms.com/files_jeud8334j/72378_submitter_file1__C36020151103171512154.jpg,a man sitting in a car talking on a cell phone .,72378
http://www.mufoncms.com/files_jeud8334j/72384_submitter_file1__12188139102049008842618476834013196319831012o.jpg,a computer mouse sitting on top of a desk .,72384
http://www.mufoncms.com/files_jeud8334j/72386_submitter_file1__image.jpg,a man flying a kite on a beach .,72386
http://www.mufoncms.com/files_jeud8334j/72401_submitter_file1__VZM.IMG20151108123351.jpg,a city street with traffic lights and buildings .,72401
http://www.mufoncms.com/files_jeud8334j/72411_submitter_file1__image.jpeg,a man is holding a camera in his hand,72411
http://www.mufoncms.com/files_jeud8334j/72416_submitter_file1__UFOIllistration001.jpg,a flock of birds sitting on top of a roof .,72416
http://www.mufoncms.com/files_jeud8334j/72419_submitter_file2__IMG201511071614381.jpg,a kite flying in the sky with a sky background,72419
http://www.mufoncms.com/files_jeud8334j/72482_submitter_file1__IMG30921.JPG,a group of people riding skis down a snow covered slope .,72482
http://www.mufoncms.com/files_jeud8334j/72485_submitter_file1__20151112145053.jpg,a red fire hydrant sitting in the middle of a forest .,72485
http://www.mufoncms.com/files_jeud8334j/72486_submitter_file1__orb4.jpg,a black and white photo of a black and white cat,72486
http://www.mufoncms.com/files_jeud8334j/72250_submitter_file1__20151105175317.jpg,a group of people riding skis down a snow covered slope .,72250
http://www.mufoncms.com/files_jeud8334j/72489_submitter_file1__20151107110014.png,a large jetliner flying through a cloudy sky .,72489
http://www.mufoncms.com/files_jeud8334j/72499_submitter_file1__20151108173237.jpg,a view of a city skyline from the distance .,72499
